icd9,icd9_description,icd10,icd10_description,approximate,combination,scenario,choice_list,no_map,label
67311,"Amniotic fluid embolism, delivered, with or without mention of antepartum condition",O88111,"Amniotic fluid embolism in pregnancy, first trimester",1,0,0,0,0,one_to_many
67311,"Amniotic fluid embolism, delivered, with or without mention of antepartum condition",O88112,"Amniotic fluid embolism in pregnancy, second trimester",1,0,0,0,0,one_to_many
67311,"Amniotic fluid embolism, delivered, with or without mention of antepartum condition",O88113,"Amniotic fluid embolism in pregnancy, third trimester",1,0,0,0,0,one_to_many
67311,"Amniotic fluid embolism, delivered, with or without mention of antepartum condition",O8812,Amniotic fluid embolism in childbirth,1,0,0,0,0,one_to_many
67312,"Amniotic fluid embolism, delivered, with mention of postpartum complication",O8812,Amniotic fluid embolism in childbirth,1,0,0,0,0,one_to_many
67312,"Amniotic fluid embolism, delivered, with mention of postpartum complication",O8813,Amniotic fluid embolism in the puerperium,1,0,0,0,0,one_to_many
67321,"Obstetrical blood-clot embolism, delivered, with or without mention of antepartum condition",O88211,"Thromboembolism in pregnancy, first trimester",1,0,0,0,0,one_to_many
67321,"Obstetrical blood-clot embolism, delivered, with or without mention of antepartum condition",O88212,"Thromboembolism in pregnancy, second trimester",1,0,0,0,0,one_to_many
67321,"Obstetrical blood-clot embolism, delivered, with or without mention of antepartum condition",O88213,"Thromboembolism in pregnancy, third trimester",1,0,0,0,0,one_to_many
67321,"Obstetrical blood-clot embolism, delivered, with or without mention of antepartum condition",O8822,Thromboembolism in childbirth,1,0,0,0,0,one_to_many
67322,"Obstetrical blood-clot embolism, delivered, with mention of postpartum complication",O8822,Thromboembolism in childbirth,1,0,0,0,0,one_to_many
67322,"Obstetrical blood-clot embolism, delivered, with mention of postpartum complication",O8823,Thromboembolism in the puerperium,1,0,0,0,0,one_to_many
67323,"Obstetrical blood-clot embolism, antepartum condition or complication",O88211,"Thromboembolism in pregnancy, first trimester",1,0,0,0,0,one_to_many
67323,"Obstetrical blood-clot embolism, antepartum condition or complication",O88212,"Thromboembolism in pregnancy, second trimester",1,0,0,0,0,one_to_many
67323,"Obstetrical blood-clot embolism, antepartum condition or complication",O88213,"Thromboembolism in pregnancy, third trimester",1,0,0,0,0,one_to_many
67333,"Obstetrical pyemic and septic embolism, antepartum condition or complication",O88311,"Pyemic and septic embolism in pregnancy, first trimester",1,0,0,0,0,one_to_many
67333,"Obstetrical pyemic and septic embolism, antepartum condition or complication",O88312,"Pyemic and septic embolism in pregnancy, second trimester",1,0,0,0,0,one_to_many
67333,"Obstetrical pyemic and septic embolism, antepartum condition or complication",O88313,"Pyemic and septic embolism in pregnancy, third trimester",1,0,0,0,0,one_to_many
67382,"Other obstetrical pulmonary embolism, delivered, with mention of postpartum complication",O88811,"Other embolism in pregnancy, first trimester",1,0,0,0,0,one_to_many
67382,"Other obstetrical pulmonary embolism, delivered, with mention of postpartum complication",O88812,"Other embolism in pregnancy, second trimester",1,0,0,0,0,one_to_many
67382,"Other obstetrical pulmonary embolism, delivered, with mention of postpartum complication",O88813,"Other embolism in pregnancy, third trimester",1,0,0,0,0,one_to_many
67382,"Other obstetrical pulmonary embolism, delivered, with mention of postpartum complication",O8882,Other embolism in childbirth,1,0,0,0,0,one_to_many
67382,"Other obstetrical pulmonary embolism, delivered, with mention of postpartum complication",O8883,Other embolism in the puerperium,1,0,0,0,0,one_to_many
67401,"Cerebrovascular disorders in the puerperium, delivered, with or without mention of antepartum condition",O99411,"Diseases of the circulatory system complicating pregnancy, first trimester",1,0,0,0,0,one_to_many
67401,"Cerebrovascular disorders in the puerperium, delivered, with or without mention of antepartum condition",O99412,"Diseases of the circulatory system complicating pregnancy, second trimester",1,0,0,0,0,one_to_many
67401,"Cerebrovascular disorders in the puerperium, delivered, with or without mention of antepartum condition",O99413,"Diseases of the circulatory system complicating pregnancy, third trimester",1,0,0,0,0,one_to_many
67401,"Cerebrovascular disorders in the puerperium, delivered, with or without mention of antepartum condition",O9942,Diseases of the circulatory system complicating childbirth,1,0,0,0,0,one_to_many
67403,"Cerebrovascular disorders in the puerperium, antepartum condition or complication",O99411,"Diseases of the circulatory system complicating pregnancy, first trimester",1,0,0,0,0,one_to_many
67403,"Cerebrovascular disorders in the puerperium, antepartum condition or complication",O99412,"Diseases of the circulatory system complicating pregnancy, second trimester",1,0,0,0,0,one_to_many
67403,"Cerebrovascular disorders in the puerperium, antepartum condition or complication",O99413,"Diseases of the circulatory system complicating pregnancy, third trimester",1,0,0,0,0,one_to_many
67432,"Other complications of obstetrical surgical wounds, delivered, with mention of postpartum complication",O860,Infection of obstetric surgical wound,1,0,0,0,0,one_to_many
67432,"Other complications of obstetrical surgical wounds, delivered, with mention of postpartum complication",O902,Hematoma of obstetric wound,1,0,0,0,0,one_to_many
67434,"Other complications of obstetrical surgical wounds, postpartum condition or complication",O860,Infection of obstetric surgical wound,1,0,0,0,0,one_to_many
67434,"Other complications of obstetrical surgical wounds, postpartum condition or complication",O902,Hematoma of obstetric wound,1,0,0,0,0,one_to_many
67511,"Abscess of breast associated with childbirth, delivered, with or without mention of antepartum condition",O91111,"Abscess of breast associated with pregnancy, first trimester",1,0,0,0,0,one_to_many
67511,"Abscess of breast associated with childbirth, delivered, with or without mention of antepartum condition",O91112,"Abscess of breast associated with pregnancy, second trimester",1,0,0,0,0,one_to_many
67511,"Abscess of breast associated with childbirth, delivered, with or without mention of antepartum condition",O91113,"Abscess of breast associated with pregnancy, third trimester",1,0,0,0,0,one_to_many
67513,"Abscess of breast associated with childbirth, antepartum condition or complication",O91111,"Abscess of breast associated with pregnancy, first trimester",1,0,0,0,0,one_to_many
67513,"Abscess of breast associated with childbirth, antepartum condition or complication",O91112,"Abscess of breast associated with pregnancy, second trimester",1,0,0,0,0,one_to_many
67513,"Abscess of breast associated with childbirth, antepartum condition or complication",O91113,"Abscess of breast associated with pregnancy, third trimester",1,0,0,0,0,one_to_many
67521,"Nonpurulent mastitis associated with childbirth, delivered, with or without mention of antepartum condition",O91211,"Nonpurulent mastitis associated with pregnancy, first trimester",1,0,0,0,0,one_to_many
67521,"Nonpurulent mastitis associated with childbirth, delivered, with or without mention of antepartum condition",O91212,"Nonpurulent mastitis associated with pregnancy, second trimester",1,0,0,0,0,one_to_many
67521,"Nonpurulent mastitis associated with childbirth, delivered, with or without mention of antepartum condition",O91213,"Nonpurulent mastitis associated with pregnancy, third trimester",1,0,0,0,0,one_to_many
67611,"Cracked nipple associated with childbirth, delivered, with or without mention of antepartum condition",O92111,"Cracked nipple associated with pregnancy, first trimester",1,0,0,0,0,one_to_many
67611,"Cracked nipple associated with childbirth, delivered, with or without mention of antepartum condition",O92112,"Cracked nipple associated with pregnancy, second trimester",1,0,0,0,0,one_to_many
67611,"Cracked nipple associated with childbirth, delivered, with or without mention of antepartum condition",O92113,"Cracked nipple associated with pregnancy, third trimester",1,0,0,0,0,one_to_many
67631,"Other and unspecified disorder of breast associated with childbirth, delivered, with or without mention of antepartum condition",O9220,Unspecified disorder of breast associated with pregnancy and the puerperium,1,0,0,0,0,one_to_many
67631,"Other and unspecified disorder of breast associated with childbirth, delivered, with or without mention of antepartum condition",O9229,Other disorders of breast associated with pregnancy and the puerperium,1,0,0,0,0,one_to_many
67632,"Other and unspecified disorder of breast associated with childbirth, delivered, with mention of postpartum complication",O9220,Unspecified disorder of breast associated with pregnancy and the puerperium,1,0,0,0,0,one_to_many
67632,"Other and unspecified disorder of breast associated with childbirth, delivered, with mention of postpartum complication",O9229,Other disorders of breast associated with pregnancy and the puerperium,1,0,0,0,0,one_to_many
67801,"Fetal hematologic conditions, delivered, with or without mention of antepartum condition",O358XX0,"Maternal care for other (suspected) fetal abnormality and damage, not applicable or unspecified",1,0,0,0,0,one_to_many
67801,"Fetal hematologic conditions, delivered, with or without mention of antepartum condition",O368210,"Fetal anemia and thrombocytopenia, first trimester, not applicable or unspecified",1,0,0,0,0,one_to_many
67801,"Fetal hematologic conditions, delivered, with or without mention of antepartum condition",O368220,"Fetal anemia and thrombocytopenia, second trimester, not applicable or unspecified",1,0,0,0,0,one_to_many
67801,"Fetal hematologic conditions, delivered, with or without mention of antepartum condition",O368230,"Fetal anemia and thrombocytopenia, third trimester, not applicable or unspecified",1,0,0,0,0,one_to_many
67803,"Fetal hematologic conditions, antepartum condition or complication",O358XX0,"Maternal care for other (suspected) fetal abnormality and damage, not applicable or unspecified",1,0,0,0,0,one_to_many
67803,"Fetal hematologic conditions, antepartum condition or complication",O368210,"Fetal anemia and thrombocytopenia, first trimester, not applicable or unspecified",1,0,0,0,0,one_to_many
67803,"Fetal hematologic conditions, antepartum condition or complication",O368220,"Fetal anemia and thrombocytopenia, second trimester, not applicable or unspecified",1,0,0,0,0,one_to_many
67803,"Fetal hematologic conditions, antepartum condition or complication",O368230,"Fetal anemia and thrombocytopenia, third trimester, not applicable or unspecified",1,0,0,0,0,one_to_many
6800,Carbuncle and furuncle of face,L0202,Furuncle of face,1,0,0,0,0,one_to_many
6800,Carbuncle and furuncle of face,L0203,Carbuncle of face,1,0,0,0,0,one_to_many
6801,Carbuncle and furuncle of neck,L0212,Furuncle of neck,1,0,0,0,0,one_to_many
6801,Carbuncle and furuncle of neck,L0213,Carbuncle of neck,1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02221,Furuncle of abdominal wall,1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02222,"Furuncle of back [any part, except buttock]",1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02223,Furuncle of chest wall,1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02224,Furuncle of groin,1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02225,Furuncle of perineum,1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02226,Furuncle of umbilicus,1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02229,"Furuncle of trunk, unspecified",1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02231,Carbuncle of abdominal wall,1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02232,"Carbuncle of back [any part, except buttock]",1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02233,Carbuncle of chest wall,1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02234,Carbuncle of groin,1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02235,Carbuncle of perineum,1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02236,Carbuncle of umbilicus,1,0,0,0,0,one_to_many
6802,Carbuncle and furuncle of trunk,L02239,"Carbuncle of trunk, unspecified",1,0,0,0,0,one_to_many
6803,Carbuncle and furuncle of upper arm and forearm,L02429,"Furuncle of limb, unspecified",1,0,0,0,0,one_to_many
6803,Carbuncle and furuncle of upper arm and forearm,L02439,"Carbuncle of limb, unspecified",1,0,0,0,0,one_to_many
6804,Carbuncle and furuncle of hand,L02529,Furuncle unspecified hand,1,0,0,0,0,one_to_many
6804,Carbuncle and furuncle of hand,L02539,Carbuncle of unspecified hand,1,0,0,0,0,one_to_many
6806,"Carbuncle and furuncle of leg, except foot",L02429,"Furuncle of limb, unspecified",1,0,0,0,0,one_to_many
6806,"Carbuncle and furuncle of leg, except foot",L02439,"Carbuncle of limb, unspecified",1,0,0,0,0,one_to_many
6807,Carbuncle and furuncle of foot,L02629,Furuncle of unspecified foot,1,0,0,0,0,one_to_many
6807,Carbuncle and furuncle of foot,L02639,Carbuncle of unspecified foot,1,0,0,0,0,one_to_many
6808,Carbuncle and furuncle of other specified sites,L02821,"Furuncle of head [any part, except face]",1,0,0,0,0,one_to_many
6808,Carbuncle and furuncle of other specified sites,L02828,Furuncle of other sites,1,0,0,0,0,one_to_many
6808,Carbuncle and furuncle of other specified sites,L02831,"Carbuncle of head [any part, except face]",1,0,0,0,0,one_to_many
6808,Carbuncle and furuncle of other specified sites,L02838,Carbuncle of other sites,1,0,0,0,0,one_to_many
6809,Carbuncle and furuncle of unspecified site,L0292,"Furuncle, unspecified",1,0,0,0,0,one_to_many
6809,Carbuncle and furuncle of unspecified site,L0293,"Carbuncle, unspecified",1,0,0,0,0,one_to_many
68100,"Cellulitis and abscess of finger, unspecified",L03019,Cellulitis of unspecified finger,1,0,0,0,0,one_to_many
68100,"Cellulitis and abscess of finger, unspecified",L03029,Acute lymphangitis of unspecified finger,1,0,0,0,0,one_to_many
68110,"Cellulitis and abscess of toe, unspecified",L03039,Cellulitis of unspecified toe,1,0,0,0,0,one_to_many
68110,"Cellulitis and abscess of toe, unspecified",L03049,Acute lymphangitis of unspecified toe,1,0,0,0,0,one_to_many
6819,Cellulitis and abscess of unspecified digit,L03019,Cellulitis of unspecified finger,1,0,0,0,0,one_to_many
6819,Cellulitis and abscess of unspecified digit,L03029,Acute lymphangitis of unspecified finger,1,0,0,0,0,one_to_many
6819,Cellulitis and abscess of unspecified digit,L03039,Cellulitis of unspecified toe,1,0,0,0,0,one_to_many
6819,Cellulitis and abscess of unspecified digit,L03049,Acute lymphangitis of unspecified toe,1,0,0,0,0,one_to_many
6820,Cellulitis and abscess of face,K122,Cellulitis and abscess of mouth,1,0,0,0,0,one_to_many
6820,Cellulitis and abscess of face,L03211,Cellulitis of face,1,0,0,0,0,one_to_many
6820,Cellulitis and abscess of face,L03212,Acute lymphangitis of face,1,0,0,0,0,one_to_many
6820,Cellulitis and abscess of face,L03213,Periorbital cellulitis,1,0,0,0,0,one_to_many
6821,Cellulitis and abscess of neck,L03221,Cellulitis of neck,1,0,0,0,0,one_to_many
6821,Cellulitis and abscess of neck,L03222,Acute lymphangitis of neck,1,0,0,0,0,one_to_many
6822,Cellulitis and abscess of trunk,L03319,"Cellulitis of trunk, unspecified",1,0,0,0,0,one_to_many
6822,Cellulitis and abscess of trunk,L03329,"Acute lymphangitis of trunk, unspecified",1,0,0,0,0,one_to_many
6823,Cellulitis and abscess of upper arm and forearm,L03119,Cellulitis of unspecified part of limb,1,0,0,0,0,one_to_many
6823,Cellulitis and abscess of upper arm and forearm,L03129,Acute lymphangitis of unspecified part of limb,1,0,0,0,0,one_to_many
6824,"Cellulitis and abscess of hand, except fingers and thumb",L03119,Cellulitis of unspecified part of limb,1,0,0,0,0,one_to_many
6824,"Cellulitis and abscess of hand, except fingers and thumb",L03129,Acute lymphangitis of unspecified part of limb,1,0,0,0,0,one_to_many
6826,"Cellulitis and abscess of leg, except foot",L03119,Cellulitis of unspecified part of limb,1,0,0,0,0,one_to_many
6826,"Cellulitis and abscess of leg, except foot",L03129,Acute lymphangitis of unspecified part of limb,1,0,0,0,0,one_to_many
6827,"Cellulitis and abscess of foot, except toes",L03119,Cellulitis of unspecified part of limb,1,0,0,0,0,one_to_many
6827,"Cellulitis and abscess of foot, except toes",L03129,Acute lymphangitis of unspecified part of limb,1,0,0,0,0,one_to_many
6828,Cellulitis and abscess of other specified sites,L03811,"Cellulitis of head [any part, except face]",1,0,0,0,0,one_to_many
6828,Cellulitis and abscess of other specified sites,L03818,Cellulitis of other sites,1,0,0,0,0,one_to_many
6828,Cellulitis and abscess of other specified sites,L03891,"Acute lymphangitis of head [any part, except face]",1,0,0,0,0,one_to_many
6828,Cellulitis and abscess of other specified sites,L03898,Acute lymphangitis of other sites,1,0,0,0,0,one_to_many
6829,Cellulitis and abscess of unspecified sites,L0390,"Cellulitis, unspecified",1,0,0,0,0,one_to_many
6829,Cellulitis and abscess of unspecified sites,L0391,"Acute lymphangitis, unspecified",1,0,0,0,0,one_to_many
684,Impetigo,L0100,"Impetigo, unspecified",1,0,0,0,0,one_to_many
684,Impetigo,L0103,Bullous impetigo,1,0,0,0,0,one_to_many
6850,Pilonidal cyst with abscess,L0501,Pilonidal cyst with abscess,1,0,0,0,0,one_to_many
6850,Pilonidal cyst with abscess,L0502,Pilonidal sinus with abscess,1,0,0,0,0,one_to_many
6851,Pilonidal cyst without mention of abscess,L0591,Pilonidal cyst without abscess,1,0,0,0,0,one_to_many
6851,Pilonidal cyst without mention of abscess,L0592,Pilonidal sinus without abscess,1,0,0,0,0,one_to_many
6868,Other specified local infections of skin and subcutaneous tissue,E832,Disorders of zinc metabolism,1,0,0,0,0,one_to_many
6868,Other specified local infections of skin and subcutaneous tissue,L0889,Other specified local infections of the skin and subcutaneous tissue,1,0,0,0,0,one_to_many
6918,Other atopic dermatitis and related conditions,L200,Besnier's prurigo,1,0,0,0,0,one_to_many
6918,Other atopic dermatitis and related conditions,L2081,Atopic neurodermatitis,1,0,0,0,0,one_to_many
6918,Other atopic dermatitis and related conditions,L2082,Flexural eczema,1,0,0,0,0,one_to_many
6918,Other atopic dermatitis and related conditions,L2084,Intrinsic (allergic) eczema,1,0,0,0,0,one_to_many
6918,Other atopic dermatitis and related conditions,L2089,Other atopic dermatitis,1,0,0,0,0,one_to_many
69271,Sunburn,L550,Sunburn of first degree,1,0,0,0,0,one_to_many
69271,Sunburn,L559,"Sunburn, unspecified",1,0,0,0,0,one_to_many
69272,Acute dermatitis due to solar radiation,L560,Drug phototoxic response,1,0,0,0,0,one_to_many
69272,Acute dermatitis due to solar radiation,L561,Drug photoallergic response,1,0,0,0,0,one_to_many
69272,Acute dermatitis due to solar radiation,L562,Photocontact dermatitis [berloque dermatitis],1,0,0,0,0,one_to_many
69283,Dermatitis due to metals,L230,Allergic contact dermatitis due to metals,1,0,0,0,0,one_to_many
69283,Dermatitis due to metals,L2481,Irritant contact dermatitis due to metals,1,0,0,0,0,one_to_many
69289,Contact dermatitis and other eczema due to other specified agents,L252,Unspecified contact dermatitis due to dyes,1,0,0,0,0,one_to_many
