icd9,icd9_description,icd10,icd10_description,approximate,combination,scenario,choice_list,no_map,label
0029,"Paratyphoid fever, unspecified",A014,"Paratyphoid fever, unspecified",0,0,0,0,0,exact
0030,Salmonella gastroenteritis,A020,Salmonella enteritis,0,0,0,0,0,exact
00324,Salmonella osteomyelitis,A0224,Salmonella osteomyelitis,0,0,0,0,0,exact
0038,Other specified salmonella infections,A028,Other specified salmonella infections,0,0,0,0,0,exact
0039,"Salmonella infection, unspecified",A029,"Salmonella infection, unspecified",0,0,0,0,0,exact
0040,Shigella dysenteriae,A030,Shigellosis due to Shigella dysenteriae,0,0,0,0,0,exact
0041,Shigella flexneri,A031,Shigellosis due to Shigella flexneri,0,0,0,0,0,exact
0043,Shigella sonnei,A033,Shigellosis due to Shigella sonnei,0,0,0,0,0,exact
0048,Other specified shigella infections,A038,Other shigellosis,0,0,0,0,0,exact
0049,"Shigellosis, unspecified",A039,"Shigellosis, unspecified",0,0,0,0,0,exact
0050,Staphylococcal food poisoning,A050,Foodborne staphylococcal intoxication,0,0,0,0,0,exact
00581,Food poisoning due to Vibrio vulnificus,A055,Foodborne Vibrio vulnificus intoxication,0,0,0,0,0,exact
0059,"Food poisoning, unspecified",A059,"Bacterial foodborne intoxication, unspecified",0,0,0,0,0,exact
0062,Amebic nondysenteric colitis,A062,Amebic nondysenteric colitis,0,0,0,0,0,exact
0069,"Amebiasis, unspecified",A069,"Amebiasis, unspecified",0,0,0,0,0,exact
0071,Giardiasis,A071,Giardiasis [lambliasis],0,0,0,0,0,exact
0074,Cryptosporidiosis,A072,Cryptosporidiosis,0,0,0,0,0,exact
00804,Intestinal infection due to enterohemorrhagic E. coli,A043,Enterohemorrhagic Escherichia coli infection,0,0,0,0,0,exact
00843,Intestinal infection due to campylobacter,A045,Campylobacter enteritis,0,0,0,0,0,exact
00844,Intestinal infection due to yersinia enterocolitica,A046,Enteritis due to Yersinia enterocolitica,0,0,0,0,0,exact
0085,"Bacterial enteritis, unspecified",A049,"Bacterial intestinal infection, unspecified",0,0,0,0,0,exact
00861,Enteritis due to rotavirus,A080,Rotaviral enteritis,0,0,0,0,0,exact
00862,Enteritis due to adenovirus,A082,Adenoviral enteritis,0,0,0,0,0,exact
0239,"Brucellosis, unspecified",A239,"Brucellosis, unspecified",0,0,0,0,0,exact
0272,Pasteurellosis,A280,Pasteurellosis,0,0,0,0,0,exact
0279,Unspecified zoonotic bacterial disease,A289,"Zoonotic bacterial disease, unspecified",0,0,0,0,0,exact
0309,"Leprosy, unspecified",A309,"Leprosy, unspecified",0,0,0,0,0,exact
0310,Pulmonary diseases due to other mycobacteria,A310,Pulmonary mycobacterial infection,0,0,0,0,0,exact
0311,Cutaneous diseases due to other mycobacteria,A311,Cutaneous mycobacterial infection,0,0,0,0,0,exact
0312,Disseminated due to other mycobacteria,A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),0,0,0,0,0,exact
0318,Other specified mycobacterial diseases,A318,Other mycobacterial infections,0,0,0,0,0,exact
0319,Unspecified diseases due to mycobacteria,A319,"Mycobacterial infection, unspecified",0,0,0,0,0,exact
03284,Diphtheritic cystitis,A3685,Diphtheritic cystitis,0,0,0,0,0,exact
03285,Cutaneous diphtheria,A363,Cutaneous diphtheria,0,0,0,0,0,exact
0329,"Diphtheria, unspecified",A369,"Diphtheria, unspecified",0,0,0,0,0,exact
035,Erysipelas,A46,Erysipelas,0,0,0,0,0,exact
0360,Meningococcal meningitis,A390,Meningococcal meningitis,0,0,0,0,0,exact
0361,Meningococcal encephalitis,A3981,Meningococcal encephalitis,0,0,0,0,0,exact
0392,Abdominal actinomycotic infection,A421,Abdominal actinomycosis,0,0,0,0,0,exact
0393,Cervicofacial actinomycotic infection,A422,Cervicofacial actinomycosis,0,0,0,0,0,exact
0400,Gas gangrene,A480,Gas gangrene,0,0,0,0,0,exact
04082,Toxic shock syndrome,A483,Toxic shock syndrome,0,0,0,0,0,exact
04101,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A",B950,"Streptococcus, group A, as the cause of diseases classified elsewhere",0,0,0,0,0,exact
04102,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B",B951,"Streptococcus, group B, as the cause of diseases classified elsewhere",0,0,0,0,0,exact
04104,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]",B952,Enterococcus as the cause of diseases classified elsewhere,0,0,0,0,0,exact
0413,Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site,B961,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,0,0,0,0,0,exact
0416,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,B964,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere,0,0,0,0,0,exact
0417,Pseudomonas infection in conditions classified elsewhere and of unspecified site,B965,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere,0,0,0,0,0,exact
04182,Bacteroides fragilis,B966,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere,0,0,0,0,0,exact
04186,Helicobacter pylori [H. pylori],B9681,Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere,0,0,0,0,0,exact
042,Human immunodeficiency virus [HIV] disease,B20,Human immunodeficiency virus [HIV] disease,0,0,0,0,0,exact
04671,Gerstmann-Sträussler-Scheinker syndrome,A8182,Gerstmann-Straussler-Scheinker syndrome,0,0,0,0,0,exact
04672,Fatal familial insomnia,A8183,Fatal familial insomnia,0,0,0,0,0,exact
0490,Lymphocytic choriomeningitis,A872,Lymphocytic choriomeningitis,0,0,0,0,0,exact
0491,Meningitis due to adenovirus,A871,Adenoviral meningitis,0,0,0,0,0,exact
0521,Varicella (hemorrhagic) pneumonitis,B012,Varicella pneumonia,0,0,0,0,0,exact
0522,Postvaricella myelitis,B0112,Varicella myelitis,0,0,0,0,0,exact
0529,Varicella without mention of complication,B019,Varicella without complication,0,0,0,0,0,exact
0530,Herpes zoster with meningitis,B021,Zoster meningitis,0,0,0,0,0,exact
05311,Geniculate herpes zoster,B0221,Postherpetic geniculate ganglionitis,0,0,0,0,0,exact
05312,Postherpetic trigeminal neuralgia,B0222,Postherpetic trigeminal neuralgia,0,0,0,0,0,exact
05313,Postherpetic polyneuropathy,B0223,Postherpetic polyneuropathy,0,0,0,0,0,exact
05314,Herpes zoster myelitis,B0224,Postherpetic myelitis,0,0,0,0,0,exact
05321,Herpes zoster keratoconjunctivitis,B0233,Zoster keratitis,0,0,0,0,0,exact
05322,Herpes zoster iridocyclitis,B0232,Zoster iridocyclitis,0,0,0,0,0,exact
0539,Herpes zoster without mention of complication,B029,Zoster without complications,0,0,0,0,0,exact
0540,Eczema herpeticum,B000,Eczema herpeticum,0,0,0,0,0,exact
05413,Herpetic infection of penis,A6001,Herpesviral infection of penis,0,0,0,0,0,exact
0542,Herpetic gingivostomatitis,B002,Herpesviral gingivostomatitis and pharyngotonsillitis,0,0,0,0,0,exact
05440,Herpes simplex with unspecified ophthalmic complication,B0050,"Herpesviral ocular disease, unspecified",0,0,0,0,0,exact
05444,Herpes simplex iridocyclitis,B0051,Herpesviral iridocyclitis,0,0,0,0,0,exact
0545,Herpetic septicemia,B007,Disseminated herpesviral disease,0,0,0,0,0,exact
05472,Herpes simplex meningitis,B003,Herpesviral meningitis,0,0,0,0,0,exact
05474,Herpes simplex myelitis,B0082,Herpes simplex myelitis,0,0,0,0,0,exact
0559,Measles without mention of complication,B059,Measles without complication,0,0,0,0,0,exact
0569,Rubella without mention of complication,B069,Rubella without complication,0,0,0,0,0,exact
05821,Human herpesvirus 6 encephalitis,B1001,Human herpesvirus 6 encephalitis,0,0,0,0,0,exact
05829,Other human herpesvirus encephalitis,B1009,Other human herpesvirus encephalitis,0,0,0,0,0,exact
05910,"Parapoxvirus infection, unspecified",B0860,"Parapoxvirus infection, unspecified",0,0,0,0,0,exact
061,Dengue,A90,Dengue fever [classical dengue],0,0,0,0,0,exact
06640,"West Nile Fever, unspecified",A9230,"West Nile virus infection, unspecified",0,0,0,0,0,exact
06641,West Nile Fever with encephalitis,A9231,West Nile virus infection with encephalitis,0,0,0,0,0,exact
06642,West Nile Fever with other neurologic manifestation,A9232,West Nile virus infection with other neurologic manifestation,0,0,0,0,0,exact
0700,Viral hepatitis A with hepatic coma,B150,Hepatitis A with hepatic coma,0,0,0,0,0,exact
0701,Viral hepatitis A without mention of hepatic coma,B159,Hepatitis A without hepatic coma,0,0,0,0,0,exact
07041,Acute hepatitis C with hepatic coma,B1711,Acute hepatitis C with hepatic coma,0,0,0,0,0,exact
07051,Acute hepatitis C without mention of hepatic coma,B1710,Acute hepatitis C without hepatic coma,0,0,0,0,0,exact
07070,Unspecified viral hepatitis C without hepatic coma,B1920,Unspecified viral hepatitis C without hepatic coma,0,0,0,0,0,exact
07071,Unspecified viral hepatitis C with hepatic coma,B1921,Unspecified viral hepatitis C with hepatic coma,0,0,0,0,0,exact
0774,Epidemic hemorrhagic conjunctivitis,B303,Acute epidemic hemorrhagic conjunctivitis (enteroviral),0,0,0,0,0,exact
0778,Other viral conjunctivitis,B308,Other viral conjunctivitis,0,0,0,0,0,exact
07799,Unspecified diseases of conjunctiva due to viruses,B309,"Viral conjunctivitis, unspecified",0,0,0,0,0,exact
0780,Molluscum contagiosum,B081,Molluscum contagiosum,0,0,0,0,0,exact
07810,"Viral warts, unspecified",B079,"Viral wart, unspecified",0,0,0,0,0,exact
07811,Condyloma acuminatum,A630,Anogenital (venereal) warts,0,0,0,0,0,exact
07812,Plantar wart,B070,Plantar wart,0,0,0,0,0,exact
07819,Other specified viral warts,B078,Other viral warts,0,0,0,0,0,exact
07881,Epidemic vertigo,A881,Epidemic vertigo,0,0,0,0,0,exact
0794,Human papillomavirus in conditions classified elsewhere and of unspecified site,B977,Papillomavirus as the cause of diseases classified elsewhere,0,0,0,0,0,exact
07951,"Human T-cell lymphotrophic virus, type I [HTLV-I]",B9733,"Human T-cell lymphotrophic virus, type I [HTLV-I] as the cause of diseases classified elsewhere",0,0,0,0,0,exact
07952,"Human T-cell lymphotrophic virus, type II [HTLV-II]",B9734,"Human T-cell lymphotrophic virus, type II [HTLV-II] as the cause of diseases classified elsewhere",0,0,0,0,0,exact
07953,"Human immunodeficiency virus, type 2 [HIV-2]",B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",0,0,0,0,0,exact
08240,"Ehrlichiosis, unspecified",A7740,"Ehrlichiosis, unspecified",0,0,0,0,0,exact
08249,Other ehrlichiosis,A7749,Other ehrlichiosis,0,0,0,0,0,exact
0830,Q fever,A78,Q fever,0,0,0,0,0,exact
0843,Ovale malaria,B530,Plasmodium ovale malaria,0,0,0,0,0,exact
0846,"Malaria, unspecified",B54,Unspecified malaria,0,0,0,0,0,exact
0859,"Leishmaniasis, unspecified",B559,"Leishmaniasis, unspecified",0,0,0,0,0,exact
0879,"Relapsing fever, unspecified",A689,"Relapsing fever, unspecified",0,0,0,0,0,exact
08882,Babesiosis,B600,Babesiosis,0,0,0,0,0,exact
0909,"Congenital syphilis, unspecified",A509,"Congenital syphilis, unspecified",0,0,0,0,0,exact
0910,Genital syphilis (primary),A510,Primary genital syphilis,0,0,0,0,0,exact
0912,Other primary syphilis,A512,Primary syphilis of other sites,0,0,0,0,0,exact
0931,Syphilitic aortitis,A5202,Syphilitic aortitis,0,0,0,0,0,exact
0941,General paresis,A5217,General paresis,0,0,0,0,0,exact
0943,Asymptomatic neurosyphilis,A522,Asymptomatic neurosyphilis,0,0,0,0,0,exact
096,"Late syphilis, latent",A528,"Late syphilis, latent",0,0,0,0,0,exact
0971,"Latent syphilis, unspecified",A530,"Latent syphilis, unspecified as early or late",0,0,0,0,0,exact
0979,"Syphilis, unspecified",A539,"Syphilis, unspecified",0,0,0,0,0,exact
09850,Gonococcal arthritis,A5442,Gonococcal arthritis,0,0,0,0,0,exact
0986,Gonococcal infection of pharynx,A545,Gonococcal pharyngitis,0,0,0,0,0,exact
0987,Gonococcal infection of anus and rectum,A546,Gonococcal infection of anus and rectum,0,0,0,0,0,exact
09886,Gonococcal peritonitis,A5485,Gonococcal peritonitis,0,0,0,0,0,exact
0990,Chancroid,A57,Chancroid,0,0,0,0,0,exact
0991,Lymphogranuloma venereum,A55,Chlamydial lymphogranuloma (venereum),0,0,0,0,0,exact
09952,"Other venereal diseases due to chlamydia trachomatis, anus and rectum",A563,Chlamydial infection of anus and rectum,0,0,0,0,0,exact
09955,"Other venereal diseases due to chlamydia trachomatis, unspecified genitourinary site",A562,"Chlamydial infection of genitourinary tract, unspecified",0,0,0,0,0,exact
1040,Nonvenereal endemic syphilis,A65,Nonvenereal syphilis,0,0,0,0,0,exact
1100,Dermatophytosis of scalp and beard,B350,Tinea barbae and tinea capitis,0,0,0,0,0,exact
1101,Dermatophytosis of nail,B351,Tinea unguium,0,0,0,0,0,exact
1102,Dermatophytosis of hand,B352,Tinea manuum,0,0,0,0,0,exact
1103,Dermatophytosis of groin and perianal area,B356,Tinea cruris,0,0,0,0,0,exact
1104,Dermatophytosis of foot,B353,Tinea pedis,0,0,0,0,0,exact
1109,Dermatophytosis of unspecified site,B359,"Dermatophytosis, unspecified",0,0,0,0,0,exact
1110,Pityriasis versicolor,B360,Pityriasis versicolor,0,0,0,0,0,exact
1121,Candidiasis of vulva and vagina,B373,Candidiasis of vulva and vagina,0,0,0,0,0,exact
1123,Candidiasis of skin and nails,B372,Candidiasis of skin and nail,0,0,0,0,0,exact
11281,Candidal endocarditis,B376,Candidal endocarditis,0,0,0,0,0,exact
11283,Candidal meningitis,B375,Candidal meningitis,0,0,0,0,0,exact
11284,Candidal esophagitis,B3781,Candidal esophagitis,0,0,0,0,0,exact
11285,Candidal enteritis,B3782,Candidal enteritis,0,0,0,0,0,exact
1129,Candidiasis of unspecified site,B379,"Candidiasis, unspecified",0,0,0,0,0,exact
1145,"Pulmonary coccidioidomycosis, unspecified",B382,"Pulmonary coccidioidomycosis, unspecified",0,0,0,0,0,exact
1149,"Coccidioidomycosis, unspecified",B389,"Coccidioidomycosis, unspecified",0,0,0,0,0,exact
1176,Allescheriosis [Petriellidosis],B482,Allescheriasis,0,0,0,0,0,exact
1200,Schistosomiasis due to schistosoma haematobium,B650,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis],0,0,0,0,0,exact
1202,Schistosomiasis due to schistosoma japonicum,B652,Schistosomiasis due to Schistosoma japonicum,0,0,0,0,0,exact
1208,Other specified schistosomiasis,B658,Other schistosomiasis,0,0,0,0,0,exact
1209,"Schistosomiasis, unspecified",B659,"Schistosomiasis, unspecified",0,0,0,0,0,exact
1211,Clonorchiasis,B661,Clonorchiasis,0,0,0,0,0,exact
1213,Fascioliasis,B663,Fascioliasis,0,0,0,0,0,exact
1220,Echinococcus granulosus infection of liver,B670,Echinococcus granulosus infection of liver,0,0,0,0,0,exact
1228,"Echinococcosis, unspecified, of liver",B678,"Echinococcosis, unspecified, of liver",0,0,0,0,0,exact
1251,Malayan filariasis,B741,Filariasis due to Brugia malayi,0,0,0,0,0,exact
1273,Trichuriasis,B79,Trichuriasis,0,0,0,0,0,exact
1280,Toxocariasis,B830,Visceral larva migrans,0,0,0,0,0,exact
129,"Intestinal parasitism, unspecified",B829,"Intestinal parasitism, unspecified",0,0,0,0,0,exact
1300,Meningoencephalitis due to toxoplasmosis,B582,Toxoplasma meningoencephalitis,0,0,0,0,0,exact
1309,"Toxoplasmosis, unspecified",B589,"Toxoplasmosis, unspecified",0,0,0,0,0,exact
13100,"Urogenital trichomoniasis, unspecified",A5900,"Urogenital trichomoniasis, unspecified",0,0,0,0,0,exact
13101,Trichomonal vulvovaginitis,A5901,Trichomonal vulvovaginitis,0,0,0,0,0,exact
13109,Other urogenital trichomoniasis,A5909,Other urogenital trichomoniasis,0,0,0,0,0,exact
1318,Trichomoniasis of other specified sites,A598,Trichomoniasis of other sites,0,0,0,0,0,exact
1319,"Trichomoniasis, unspecified",A599,"Trichomoniasis, unspecified",0,0,0,0,0,exact
1320,Pediculus capitis [head louse],B850,Pediculosis due to Pediculus humanus capitis,0,0,0,0,0,exact
1321,Pediculus corporis [body louse],B851,Pediculosis due to Pediculus humanus corporis,0,0,0,0,0,exact
1323,Mixed pediculosis infestation,B854,Mixed pediculosis and phthiriasis,0,0,0,0,0,exact
1329,"Pediculosis, unspecified",B852,"Pediculosis, unspecified",0,0,0,0,0,exact
1330,Scabies,B86,Scabies,0,0,0,0,0,exact
1363,Pneumocystosis,B59,Pneumocystosis,0,0,0,0,0,exact
1370,Late effects of respiratory or unspecified tuberculosis,B909,Sequelae of respiratory and unspecified tuberculosis,0,0,0,0,0,exact
1373,Late effects of tuberculosis of bones and joints,B902,Sequelae of tuberculosis of bones and joints,0,0,0,0,0,exact
1390,Late effects of viral encephalitis,B941,Sequelae of viral encephalitis,0,0,0,0,0,exact
1400,"Malignant neoplasm of upper lip, vermilion border",C000,Malignant neoplasm of external upper lip,0,0,0,0,0,exact
1401,"Malignant neoplasm of lower lip, vermilion border",C001,Malignant neoplasm of external lower lip,0,0,0,0,0,exact
1404,"Malignant neoplasm of lower lip, inner aspect",C004,"Malignant neoplasm of lower lip, inner aspect",0,0,0,0,0,exact
1410,Malignant neoplasm of base of tongue,C01,Malignant neoplasm of base of tongue,0,0,0,0,0,exact
1411,Malignant neoplasm of dorsal surface of tongue,C020,Malignant neoplasm of dorsal surface of tongue,0,0,0,0,0,exact
1412,Malignant neoplasm of tip and lateral border of tongue,C021,Malignant neoplasm of border of tongue,0,0,0,0,0,exact
1414,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",0,0,0,0,0,exact
1419,"Malignant neoplasm of tongue, unspecified",C029,"Malignant neoplasm of tongue, unspecified",0,0,0,0,0,exact
1420,Malignant neoplasm of parotid gland,C07,Malignant neoplasm of parotid gland,0,0,0,0,0,exact
1421,Malignant neoplasm of submandibular gland,C080,Malignant neoplasm of submandibular gland,0,0,0,0,0,exact
1430,Malignant neoplasm of upper gum,C030,Malignant neoplasm of upper gum,0,0,0,0,0,exact
1431,Malignant neoplasm of lower gum,C031,Malignant neoplasm of lower gum,0,0,0,0,0,exact
1440,Malignant neoplasm of anterior portion of floor of mouth,C040,Malignant neoplasm of anterior floor of mouth,0,0,0,0,0,exact
1441,Malignant neoplasm of lateral portion of floor of mouth,C041,Malignant neoplasm of lateral floor of mouth,0,0,0,0,0,exact
1449,"Malignant neoplasm of floor of mouth, part unspecified",C049,"Malignant neoplasm of floor of mouth, unspecified",0,0,0,0,0,exact
1450,Malignant neoplasm of cheek mucosa,C060,Malignant neoplasm of cheek mucosa,0,0,0,0,0,exact
1451,Malignant neoplasm of vestibule of mouth,C061,Malignant neoplasm of vestibule of mouth,0,0,0,0,0,exact
1452,Malignant neoplasm of hard palate,C050,Malignant neoplasm of hard palate,0,0,0,0,0,exact
1453,Malignant neoplasm of soft palate,C051,Malignant neoplasm of soft palate,0,0,0,0,0,exact
1459,"Malignant neoplasm of mouth, unspecified",C069,"Malignant neoplasm of mouth, unspecified",0,0,0,0,0,exact
1461,Malignant neoplasm of tonsillar fossa,C090,Malignant neoplasm of tonsillar fossa,0,0,0,0,0,exact
1463,Malignant neoplasm of vallecula epiglottica,C100,Malignant neoplasm of vallecula,0,0,0,0,0,exact
1469,"Malignant neoplasm of oropharynx, unspecified site",C109,"Malignant neoplasm of oropharynx, unspecified",0,0,0,0,0,exact
1471,Malignant neoplasm of posterior wall of nasopharynx,C111,Malignant neoplasm of posterior wall of nasopharynx,0,0,0,0,0,exact
1479,"Malignant neoplasm of nasopharynx, unspecified site",C119,"Malignant neoplasm of nasopharynx, unspecified",0,0,0,0,0,exact
1481,Malignant neoplasm of pyriform sinus,C12,Malignant neoplasm of pyriform sinus,0,0,0,0,0,exact
1483,Malignant neoplasm of posterior hypopharyngeal wall,C132,Malignant neoplasm of posterior wall of hypopharynx,0,0,0,0,0,exact
1489,"Malignant neoplasm of hypopharynx, unspecified site",C139,"Malignant neoplasm of hypopharynx, unspecified",0,0,0,0,0,exact
1490,"Malignant neoplasm of pharynx, unspecified",C140,"Malignant neoplasm of pharynx, unspecified",0,0,0,0,0,exact
1509,"Malignant neoplasm of esophagus, unspecified site",C159,"Malignant neoplasm of esophagus, unspecified",0,0,0,0,0,exact
1510,Malignant neoplasm of cardia,C160,Malignant neoplasm of cardia,0,0,0,0,0,exact
1511,Malignant neoplasm of pylorus,C164,Malignant neoplasm of pylorus,0,0,0,0,0,exact
1512,Malignant neoplasm of pyloric antrum,C163,Malignant neoplasm of pyloric antrum,0,0,0,0,0,exact
1513,Malignant neoplasm of fundus of stomach,C161,Malignant neoplasm of fundus of stomach,0,0,0,0,0,exact
1514,Malignant neoplasm of body of stomach,C162,Malignant neoplasm of body of stomach,0,0,0,0,0,exact
1515,"Malignant neoplasm of lesser curvature of stomach, unspecified",C165,"Malignant neoplasm of lesser curvature of stomach, unspecified",0,0,0,0,0,exact
1516,"Malignant neoplasm of greater curvature of stomach, unspecified",C166,"Malignant neoplasm of greater curvature of stomach, unspecified",0,0,0,0,0,exact
1519,"Malignant neoplasm of stomach, unspecified site",C169,"Malignant neoplasm of stomach, unspecified",0,0,0,0,0,exact
1520,Malignant neoplasm of duodenum,C170,Malignant neoplasm of duodenum,0,0,0,0,0,exact
1521,Malignant neoplasm of jejunum,C171,Malignant neoplasm of jejunum,0,0,0,0,0,exact
1522,Malignant neoplasm of ileum,C172,Malignant neoplasm of ileum,0,0,0,0,0,exact
1529,"Malignant neoplasm of small intestine, unspecified site",C179,"Malignant neoplasm of small intestine, unspecified",0,0,0,0,0,exact
1530,Malignant neoplasm of hepatic flexure,C183,Malignant neoplasm of hepatic flexure,0,0,0,0,0,exact
1531,Malignant neoplasm of transverse colon,C184,Malignant neoplasm of transverse colon,0,0,0,0,0,exact
1532,Malignant neoplasm of descending colon,C186,Malignant neoplasm of descending colon,0,0,0,0,0,exact
1533,Malignant neoplasm of sigmoid colon,C187,Malignant neoplasm of sigmoid colon,0,0,0,0,0,exact
1534,Malignant neoplasm of cecum,C180,Malignant neoplasm of cecum,0,0,0,0,0,exact
1535,Malignant neoplasm of appendix vermiformis,C181,Malignant neoplasm of appendix,0,0,0,0,0,exact
1536,Malignant neoplasm of ascending colon,C182,Malignant neoplasm of ascending colon,0,0,0,0,0,exact
1537,Malignant neoplasm of splenic flexure,C185,Malignant neoplasm of splenic flexure,0,0,0,0,0,exact
1539,"Malignant neoplasm of colon, unspecified site",C189,"Malignant neoplasm of colon, unspecified",0,0,0,0,0,exact
1540,Malignant neoplasm of rectosigmoid junction,C19,Malignant neoplasm of rectosigmoid junction,0,0,0,0,0,exact
1541,Malignant neoplasm of rectum,C20,Malignant neoplasm of rectum,0,0,0,0,0,exact
1542,Malignant neoplasm of anal canal,C211,Malignant neoplasm of anal canal,0,0,0,0,0,exact
1543,"Malignant neoplasm of anus, unspecified site",C210,"Malignant neoplasm of anus, unspecified",0,0,0,0,0,exact
1551,Malignant neoplasm of intrahepatic bile ducts,C221,Intrahepatic bile duct carcinoma,0,0,0,0,0,exact
1552,"Malignant neoplasm of liver, not specified as primary or secondary",C229,"Malignant neoplasm of liver, not specified as primary or secondary",0,0,0,0,0,exact
1560,Malignant neoplasm of gallbladder,C23,Malignant neoplasm of gallbladder,0,0,0,0,0,exact
1561,Malignant neoplasm of extrahepatic bile ducts,C240,Malignant neoplasm of extrahepatic bile duct,0,0,0,0,0,exact
1562,Malignant neoplasm of ampulla of vater,C241,Malignant neoplasm of ampulla of Vater,0,0,0,0,0,exact
1568,Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts,C248,Malignant neoplasm of overlapping sites of biliary tract,0,0,0,0,0,exact
1569,"Malignant neoplasm of biliary tract, part unspecified site",C249,"Malignant neoplasm of biliary tract, unspecified",0,0,0,0,0,exact
1570,Malignant neoplasm of head of pancreas,C250,Malignant neoplasm of head of pancreas,0,0,0,0,0,exact
1571,Malignant neoplasm of body of pancreas,C251,Malignant neoplasm of body of pancreas,0,0,0,0,0,exact
1572,Malignant neoplasm of tail of pancreas,C252,Malignant neoplasm of tail of pancreas,0,0,0,0,0,exact
1573,Malignant neoplasm of pancreatic duct,C253,Malignant neoplasm of pancreatic duct,0,0,0,0,0,exact
1574,Malignant neoplasm of islets of langerhans,C254,Malignant neoplasm of endocrine pancreas,0,0,0,0,0,exact
1579,"Malignant neoplasm of pancreas, part unspecified",C259,"Malignant neoplasm of pancreas, unspecified",0,0,0,0,0,exact
1580,Malignant neoplasm of retroperitoneum,C480,Malignant neoplasm of retroperitoneum,0,0,0,0,0,exact
1589,"Malignant neoplasm of peritoneum, unspecified",C482,"Malignant neoplasm of peritoneum, unspecified",0,0,0,0,0,exact
1591,"Malignant neoplasm of spleen, not elsewhere classified",C261,Malignant neoplasm of spleen,0,0,0,0,0,exact
1600,Malignant neoplasm of nasal cavities,C300,Malignant neoplasm of nasal cavity,0,0,0,0,0,exact
1602,Malignant neoplasm of maxillary sinus,C310,Malignant neoplasm of maxillary sinus,0,0,0,0,0,exact
1603,Malignant neoplasm of ethmoidal sinus,C311,Malignant neoplasm of ethmoidal sinus,0,0,0,0,0,exact
1608,Malignant neoplasm of other accessory sinuses,C318,Malignant neoplasm of overlapping sites of accessory sinuses,0,0,0,0,0,exact
1609,"Malignant neoplasm of accessory sinus, unspecified",C319,"Malignant neoplasm of accessory sinus, unspecified",0,0,0,0,0,exact
1610,Malignant neoplasm of glottis,C320,Malignant neoplasm of glottis,0,0,0,0,0,exact
1611,Malignant neoplasm of supraglottis,C321,Malignant neoplasm of supraglottis,0,0,0,0,0,exact
1612,Malignant neoplasm of subglottis,C322,Malignant neoplasm of subglottis,0,0,0,0,0,exact
1618,Malignant neoplasm of other specified sites of larynx,C328,Malignant neoplasm of overlapping sites of larynx,0,0,0,0,0,exact
1619,"Malignant neoplasm of larynx, unspecified",C329,"Malignant neoplasm of larynx, unspecified",0,0,0,0,0,exact
1620,Malignant neoplasm of trachea,C33,Malignant neoplasm of trachea,0,0,0,0,0,exact
1624,"Malignant neoplasm of middle lobe, bronchus or lung",C342,"Malignant neoplasm of middle lobe, bronchus or lung",0,0,0,0,0,exact
1640,Malignant neoplasm of thymus,C37,Malignant neoplasm of thymus,0,0,0,0,0,exact
1642,Malignant neoplasm of anterior mediastinum,C381,Malignant neoplasm of anterior mediastinum,0,0,0,0,0,exact
1643,Malignant neoplasm of posterior mediastinum,C382,Malignant neoplasm of posterior mediastinum,0,0,0,0,0,exact
1648,Malignant neoplasm of other parts of mediastinum,C388,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",0,0,0,0,0,exact
1649,"Malignant neoplasm of mediastinum, part unspecified",C383,"Malignant neoplasm of mediastinum, part unspecified",0,0,0,0,0,exact
1700,"Malignant neoplasm of bones of skull and face, except mandible",C410,Malignant neoplasm of bones of skull and face,0,0,0,0,0,exact
1701,Malignant neoplasm of mandible,C411,Malignant neoplasm of mandible,0,0,0,0,0,exact
1702,"Malignant neoplasm of vertebral column, excluding sacrum and coccyx",C412,Malignant neoplasm of vertebral column,0,0,0,0,0,exact
1703,"Malignant neoplasm of ribs, sternum, and clavicle",C413,"Malignant neoplasm of ribs, sternum and clavicle",0,0,0,0,0,exact
1706,"Malignant neoplasm of pelvic bones, sacrum, and coccyx",C414,"Malignant neoplasm of pelvic bones, sacrum and coccyx",0,0,0,0,0,exact
17301,Basal cell carcinoma of skin of lip,C4401,Basal cell carcinoma of skin of lip,0,0,0,0,0,exact
