Order2018	POAexemptCode	Description
32802	S13.20XD	"Dislocation of unspecified parts of neck, subsequent encounter"
32803	S13.20XS	"Dislocation of unspecified parts of neck, sequela"
32806	S13.29XD	"Dislocation of other parts of neck, subsequent encounter"
32807	S13.29XS	"Dislocation of other parts of neck, sequela"
32810	S13.4XXD	"Sprain of ligaments of cervical spine, subsequent encounter"
32811	S13.4XXS	"Sprain of ligaments of cervical spine, sequela"
32814	S13.5XXD	"Sprain of thyroid region, subsequent encounter"
32815	S13.5XXS	"Sprain of thyroid region, sequela"
32818	S13.8XXD	"Sprain of joints and ligaments of other parts of neck, subsequent encounter"
32819	S13.8XXS	"Sprain of joints and ligaments of other parts of neck, sequela"
32822	S13.9XXD	"Sprain of joints and ligaments of unspecified parts of neck, subsequent encounter"
32823	S13.9XXS	"Sprain of joints and ligaments of unspecified parts of neck, sequela"
32827	S14.0XXD	"Concussion and edema of cervical spinal cord, subsequent encounter"
32828	S14.0XXS	"Concussion and edema of cervical spinal cord, sequela"
32833	S14.101D	"Unspecified injury at C1 level of cervical spinal cord, subsequent encounter"
32834	S14.101S	"Unspecified injury at C1 level of cervical spinal cord, sequela"
32837	S14.102D	"Unspecified injury at C2 level of cervical spinal cord, subsequent encounter"
32838	S14.102S	"Unspecified injury at C2 level of cervical spinal cord, sequela"
32841	S14.103D	"Unspecified injury at C3 level of cervical spinal cord, subsequent encounter"
32842	S14.103S	"Unspecified injury at C3 level of cervical spinal cord, sequela"
32845	S14.104D	"Unspecified injury at C4 level of cervical spinal cord, subsequent encounter"
32846	S14.104S	"Unspecified injury at C4 level of cervical spinal cord, sequela"
32849	S14.105D	"Unspecified injury at C5 level of cervical spinal cord, subsequent encounter"
32850	S14.105S	"Unspecified injury at C5 level of cervical spinal cord, sequela"
32853	S14.106D	"Unspecified injury at C6 level of cervical spinal cord, subsequent encounter"
32854	S14.106S	"Unspecified injury at C6 level of cervical spinal cord, sequela"
32857	S14.107D	"Unspecified injury at C7 level of cervical spinal cord, subsequent encounter"
32858	S14.107S	"Unspecified injury at C7 level of cervical spinal cord, sequela"
32861	S14.108D	"Unspecified injury at C8 level of cervical spinal cord, subsequent encounter"
32862	S14.108S	"Unspecified injury at C8 level of cervical spinal cord, sequela"
32865	S14.109D	"Unspecified injury at unspecified level of cervical spinal cord, subsequent encounter"
32866	S14.109S	"Unspecified injury at unspecified level of cervical spinal cord, sequela"
32870	S14.111D	"Complete lesion at C1 level of cervical spinal cord, subsequent encounter"
32871	S14.111S	"Complete lesion at C1 level of cervical spinal cord, sequela"
32874	S14.112D	"Complete lesion at C2 level of cervical spinal cord, subsequent encounter"
32875	S14.112S	"Complete lesion at C2 level of cervical spinal cord, sequela"
32878	S14.113D	"Complete lesion at C3 level of cervical spinal cord, subsequent encounter"
32879	S14.113S	"Complete lesion at C3 level of cervical spinal cord, sequela"
32882	S14.114D	"Complete lesion at C4 level of cervical spinal cord, subsequent encounter"
32883	S14.114S	"Complete lesion at C4 level of cervical spinal cord, sequela"
32886	S14.115D	"Complete lesion at C5 level of cervical spinal cord, subsequent encounter"
32887	S14.115S	"Complete lesion at C5 level of cervical spinal cord, sequela"
32890	S14.116D	"Complete lesion at C6 level of cervical spinal cord, subsequent encounter"
32891	S14.116S	"Complete lesion at C6 level of cervical spinal cord, sequela"
32894	S14.117D	"Complete lesion at C7 level of cervical spinal cord, subsequent encounter"
32895	S14.117S	"Complete lesion at C7 level of cervical spinal cord, sequela"
32898	S14.118D	"Complete lesion at C8 level of cervical spinal cord, subsequent encounter"
32899	S14.118S	"Complete lesion at C8 level of cervical spinal cord, sequela"
32902	S14.119D	"Complete lesion at unspecified level of cervical spinal cord, subsequent encounter"
32903	S14.119S	"Complete lesion at unspecified level of cervical spinal cord, sequela"
32907	S14.121D	"Central cord syndrome at C1 level of cervical spinal cord, subsequent encounter"
32908	S14.121S	"Central cord syndrome at C1 level of cervical spinal cord, sequela"
32911	S14.122D	"Central cord syndrome at C2 level of cervical spinal cord, subsequent encounter"
32912	S14.122S	"Central cord syndrome at C2 level of cervical spinal cord, sequela"
32915	S14.123D	"Central cord syndrome at C3 level of cervical spinal cord, subsequent encounter"
32916	S14.123S	"Central cord syndrome at C3 level of cervical spinal cord, sequela"
32919	S14.124D	"Central cord syndrome at C4 level of cervical spinal cord, subsequent encounter"
32920	S14.124S	"Central cord syndrome at C4 level of cervical spinal cord, sequela"
32923	S14.125D	"Central cord syndrome at C5 level of cervical spinal cord, subsequent encounter"
32924	S14.125S	"Central cord syndrome at C5 level of cervical spinal cord, sequela"
32927	S14.126D	"Central cord syndrome at C6 level of cervical spinal cord, subsequent encounter"
32928	S14.126S	"Central cord syndrome at C6 level of cervical spinal cord, sequela"
32931	S14.127D	"Central cord syndrome at C7 level of cervical spinal cord, subsequent encounter"
32932	S14.127S	"Central cord syndrome at C7 level of cervical spinal cord, sequela"
32935	S14.128D	"Central cord syndrome at C8 level of cervical spinal cord, subsequent encounter"
32936	S14.128S	"Central cord syndrome at C8 level of cervical spinal cord, sequela"
32939	S14.129D	"Central cord syndrome at unspecified level of cervical spinal cord, subsequent encounter"
32940	S14.129S	"Central cord syndrome at unspecified level of cervical spinal cord, sequela"
32944	S14.131D	"Anterior cord syndrome at C1 level of cervical spinal cord, subsequent encounter"
32945	S14.131S	"Anterior cord syndrome at C1 level of cervical spinal cord, sequela"
32948	S14.132D	"Anterior cord syndrome at C2 level of cervical spinal cord, subsequent encounter"
32949	S14.132S	"Anterior cord syndrome at C2 level of cervical spinal cord, sequela"
32952	S14.133D	"Anterior cord syndrome at C3 level of cervical spinal cord, subsequent encounter"
32953	S14.133S	"Anterior cord syndrome at C3 level of cervical spinal cord, sequela"
32956	S14.134D	"Anterior cord syndrome at C4 level of cervical spinal cord, subsequent encounter"
32957	S14.134S	"Anterior cord syndrome at C4 level of cervical spinal cord, sequela"
32960	S14.135D	"Anterior cord syndrome at C5 level of cervical spinal cord, subsequent encounter"
32961	S14.135S	"Anterior cord syndrome at C5 level of cervical spinal cord, sequela"
32964	S14.136D	"Anterior cord syndrome at C6 level of cervical spinal cord, subsequent encounter"
32965	S14.136S	"Anterior cord syndrome at C6 level of cervical spinal cord, sequela"
32968	S14.137D	"Anterior cord syndrome at C7 level of cervical spinal cord, subsequent encounter"
32969	S14.137S	"Anterior cord syndrome at C7 level of cervical spinal cord, sequela"
32972	S14.138D	"Anterior cord syndrome at C8 level of cervical spinal cord, subsequent encounter"
32973	S14.138S	"Anterior cord syndrome at C8 level of cervical spinal cord, sequela"
32976	S14.139D	"Anterior cord syndrome at unspecified level of cervical spinal cord, subsequent encounter"
32977	S14.139S	"Anterior cord syndrome at unspecified level of cervical spinal cord, sequela"
32981	S14.141D	"Brown-Sequard syndrome at C1 level of cervical spinal cord, subsequent encounter"
32982	S14.141S	"Brown-Sequard syndrome at C1 level of cervical spinal cord, sequela"
32985	S14.142D	"Brown-Sequard syndrome at C2 level of cervical spinal cord, subsequent encounter"
32986	S14.142S	"Brown-Sequard syndrome at C2 level of cervical spinal cord, sequela"
32989	S14.143D	"Brown-Sequard syndrome at C3 level of cervical spinal cord, subsequent encounter"
32990	S14.143S	"Brown-Sequard syndrome at C3 level of cervical spinal cord, sequela"
32993	S14.144D	"Brown-Sequard syndrome at C4 level of cervical spinal cord, subsequent encounter"
32994	S14.144S	"Brown-Sequard syndrome at C4 level of cervical spinal cord, sequela"
32997	S14.145D	"Brown-Sequard syndrome at C5 level of cervical spinal cord, subsequent encounter"
32998	S14.145S	"Brown-Sequard syndrome at C5 level of cervical spinal cord, sequela"
33001	S14.146D	"Brown-Sequard syndrome at C6 level of cervical spinal cord, subsequent encounter"
33002	S14.146S	"Brown-Sequard syndrome at C6 level of cervical spinal cord, sequela"
33005	S14.147D	"Brown-Sequard syndrome at C7 level of cervical spinal cord, subsequent encounter"
33006	S14.147S	"Brown-Sequard syndrome at C7 level of cervical spinal cord, sequela"
33009	S14.148D	"Brown-Sequard syndrome at C8 level of cervical spinal cord, subsequent encounter"
33010	S14.148S	"Brown-Sequard syndrome at C8 level of cervical spinal cord, sequela"
33013	S14.149D	"Brown-Sequard syndrome at unspecified level of cervical spinal cord, subsequent encounter"
33014	S14.149S	"Brown-Sequard syndrome at unspecified level of cervical spinal cord, sequela"
33018	S14.151D	"Other incomplete lesion at C1 level of cervical spinal cord, subsequent encounter"
33019	S14.151S	"Other incomplete lesion at C1 level of cervical spinal cord, sequela"
33022	S14.152D	"Other incomplete lesion at C2 level of cervical spinal cord, subsequent encounter"
33023	S14.152S	"Other incomplete lesion at C2 level of cervical spinal cord, sequela"
33026	S14.153D	"Other incomplete lesion at C3 level of cervical spinal cord, subsequent encounter"
33027	S14.153S	"Other incomplete lesion at C3 level of cervical spinal cord, sequela"
33030	S14.154D	"Other incomplete lesion at C4 level of cervical spinal cord, subsequent encounter"
33031	S14.154S	"Other incomplete lesion at C4 level of cervical spinal cord, sequela"
33034	S14.155D	"Other incomplete lesion at C5 level of cervical spinal cord, subsequent encounter"
33035	S14.155S	"Other incomplete lesion at C5 level of cervical spinal cord, sequela"
33038	S14.156D	"Other incomplete lesion at C6 level of cervical spinal cord, subsequent encounter"
33039	S14.156S	"Other incomplete lesion at C6 level of cervical spinal cord, sequela"
33042	S14.157D	"Other incomplete lesion at C7 level of cervical spinal cord, subsequent encounter"
33043	S14.157S	"Other incomplete lesion at C7 level of cervical spinal cord, sequela"
33046	S14.158D	"Other incomplete lesion at C8 level of cervical spinal cord, subsequent encounter"
33047	S14.158S	"Other incomplete lesion at C8 level of cervical spinal cord, sequela"
33050	S14.159D	"Other incomplete lesion at unspecified level of cervical spinal cord, subsequent encounter"
33051	S14.159S	"Other incomplete lesion at unspecified level of cervical spinal cord, sequela"
33054	S14.2XXD	"Injury of nerve root of cervical spine, subsequent encounter"
33055	S14.2XXS	"Injury of nerve root of cervical spine, sequela"
33058	S14.3XXD	"Injury of brachial plexus, subsequent encounter"
33059	S14.3XXS	"Injury of brachial plexus, sequela"
33062	S14.4XXD	"Injury of peripheral nerves of neck, subsequent encounter"
33063	S14.4XXS	"Injury of peripheral nerves of neck, sequela"
33066	S14.5XXD	"Injury of cervical sympathetic nerves, subsequent encounter"
33067	S14.5XXS	"Injury of cervical sympathetic nerves, sequela"
33070	S14.8XXD	"Injury of other specified nerves of neck, subsequent encounter"
33071	S14.8XXS	"Injury of other specified nerves of neck, sequela"
33074	S14.9XXD	"Injury of unspecified nerves of neck, subsequent encounter"
33075	S14.9XXS	"Injury of unspecified nerves of neck, sequela"
33081	S15.001D	"Unspecified injury of right carotid artery, subsequent encounter"
33082	S15.001S	"Unspecified injury of right carotid artery, sequela"
33085	S15.002D	"Unspecified injury of left carotid artery, subsequent encounter"
33086	S15.002S	"Unspecified injury of left carotid artery, sequela"
33089	S15.009D	"Unspecified injury of unspecified carotid artery, subsequent encounter"
33090	S15.009S	"Unspecified injury of unspecified carotid artery, sequela"
33094	S15.011D	"Minor laceration of right carotid artery, subsequent encounter"
33095	S15.011S	"Minor laceration of right carotid artery, sequela"
33098	S15.012D	"Minor laceration of left carotid artery, subsequent encounter"
33099	S15.012S	"Minor laceration of left carotid artery, sequela"
33102	S15.019D	"Minor laceration of unspecified carotid artery, subsequent encounter"
33103	S15.019S	"Minor laceration of unspecified carotid artery, sequela"
33107	S15.021D	"Major laceration of right carotid artery, subsequent encounter"
33108	S15.021S	"Major laceration of right carotid artery, sequela"
33111	S15.022D	"Major laceration of left carotid artery, subsequent encounter"
33112	S15.022S	"Major laceration of left carotid artery, sequela"
33115	S15.029D	"Major laceration of unspecified carotid artery, subsequent encounter"
33116	S15.029S	"Major laceration of unspecified carotid artery, sequela"
33120	S15.091D	"Other specified injury of right carotid artery, subsequent encounter"
33121	S15.091S	"Other specified injury of right carotid artery, sequela"
33124	S15.092D	"Other specified injury of left carotid artery, subsequent encounter"
33125	S15.092S	"Other specified injury of left carotid artery, sequela"
33128	S15.099D	"Other specified injury of unspecified carotid artery, subsequent encounter"
33129	S15.099S	"Other specified injury of unspecified carotid artery, sequela"
33134	S15.101D	"Unspecified injury of right vertebral artery, subsequent encounter"
33135	S15.101S	"Unspecified injury of right vertebral artery, sequela"
33138	S15.102D	"Unspecified injury of left vertebral artery, subsequent encounter"
33139	S15.102S	"Unspecified injury of left vertebral artery, sequela"
33142	S15.109D	"Unspecified injury of unspecified vertebral artery, subsequent encounter"
33143	S15.109S	"Unspecified injury of unspecified vertebral artery, sequela"
33147	S15.111D	"Minor laceration of right vertebral artery, subsequent encounter"
33148	S15.111S	"Minor laceration of right vertebral artery, sequela"
33151	S15.112D	"Minor laceration of left vertebral artery, subsequent encounter"
33152	S15.112S	"Minor laceration of left vertebral artery, sequela"
33155	S15.119D	"Minor laceration of unspecified vertebral artery, subsequent encounter"
33156	S15.119S	"Minor laceration of unspecified vertebral artery, sequela"
33160	S15.121D	"Major laceration of right vertebral artery, subsequent encounter"
33161	S15.121S	"Major laceration of right vertebral artery, sequela"
33164	S15.122D	"Major laceration of left vertebral artery, subsequent encounter"
33165	S15.122S	"Major laceration of left vertebral artery, sequela"
33168	S15.129D	"Major laceration of unspecified vertebral artery, subsequent encounter"
33169	S15.129S	"Major laceration of unspecified vertebral artery, sequela"
33173	S15.191D	"Other specified injury of right vertebral artery, subsequent encounter"
33174	S15.191S	"Other specified injury of right vertebral artery, sequela"
33177	S15.192D	"Other specified injury of left vertebral artery, subsequent encounter"
33178	S15.192S	"Other specified injury of left vertebral artery, sequela"
33181	S15.199D	"Other specified injury of unspecified vertebral artery, subsequent encounter"
33182	S15.199S	"Other specified injury of unspecified vertebral artery, sequela"
33187	S15.201D	"Unspecified injury of right external jugular vein, subsequent encounter"
33188	S15.201S	"Unspecified injury of right external jugular vein, sequela"
33191	S15.202D	"Unspecified injury of left external jugular vein, subsequent encounter"
33192	S15.202S	"Unspecified injury of left external jugular vein, sequela"
33195	S15.209D	"Unspecified injury of unspecified external jugular vein, subsequent encounter"
33196	S15.209S	"Unspecified injury of unspecified external jugular vein, sequela"
33200	S15.211D	"Minor laceration of right external jugular vein, subsequent encounter"
33201	S15.211S	"Minor laceration of right external jugular vein, sequela"
33204	S15.212D	"Minor laceration of left external jugular vein, subsequent encounter"
33205	S15.212S	"Minor laceration of left external jugular vein, sequela"
33208	S15.219D	"Minor laceration of unspecified external jugular vein, subsequent encounter"
33209	S15.219S	"Minor laceration of unspecified external jugular vein, sequela"
33213	S15.221D	"Major laceration of right external jugular vein, subsequent encounter"
33214	S15.221S	"Major laceration of right external jugular vein, sequela"
33217	S15.222D	"Major laceration of left external jugular vein, subsequent encounter"
33218	S15.222S	"Major laceration of left external jugular vein, sequela"
33221	S15.229D	"Major laceration of unspecified external jugular vein, subsequent encounter"
33222	S15.229S	"Major laceration of unspecified external jugular vein, sequela"
33226	S15.291D	"Other specified injury of right external jugular vein, subsequent encounter"
33227	S15.291S	"Other specified injury of right external jugular vein, sequela"
33230	S15.292D	"Other specified injury of left external jugular vein, subsequent encounter"
33231	S15.292S	"Other specified injury of left external jugular vein, sequela"
33234	S15.299D	"Other specified injury of unspecified external jugular vein, subsequent encounter"
33235	S15.299S	"Other specified injury of unspecified external jugular vein, sequela"
33240	S15.301D	"Unspecified injury of right internal jugular vein, subsequent encounter"
33241	S15.301S	"Unspecified injury of right internal jugular vein, sequela"
33244	S15.302D	"Unspecified injury of left internal jugular vein, subsequent encounter"
33245	S15.302S	"Unspecified injury of left internal jugular vein, sequela"
33248	S15.309D	"Unspecified injury of unspecified internal jugular vein, subsequent encounter"
33249	S15.309S	"Unspecified injury of unspecified internal jugular vein, sequela"
33253	S15.311D	"Minor laceration of right internal jugular vein, subsequent encounter"
33254	S15.311S	"Minor laceration of right internal jugular vein, sequela"
33257	S15.312D	"Minor laceration of left internal jugular vein, subsequent encounter"
33258	S15.312S	"Minor laceration of left internal jugular vein, sequela"
33261	S15.319D	"Minor laceration of unspecified internal jugular vein, subsequent encounter"
33262	S15.319S	"Minor laceration of unspecified internal jugular vein, sequela"
33266	S15.321D	"Major laceration of right internal jugular vein, subsequent encounter"
33267	S15.321S	"Major laceration of right internal jugular vein, sequela"
33270	S15.322D	"Major laceration of left internal jugular vein, subsequent encounter"
33271	S15.322S	"Major laceration of left internal jugular vein, sequela"
33274	S15.329D	"Major laceration of unspecified internal jugular vein, subsequent encounter"
33275	S15.329S	"Major laceration of unspecified internal jugular vein, sequela"
33279	S15.391D	"Other specified injury of right internal jugular vein, subsequent encounter"
33280	S15.391S	"Other specified injury of right internal jugular vein, sequela"
33283	S15.392D	"Other specified injury of left internal jugular vein, subsequent encounter"
33284	S15.392S	"Other specified injury of left internal jugular vein, sequela"
33287	S15.399D	"Other specified injury of unspecified internal jugular vein, subsequent encounter"
33288	S15.399S	"Other specified injury of unspecified internal jugular vein, sequela"
33291	S15.8XXD	"Injury of other specified blood vessels at neck level, subsequent encounter"
33292	S15.8XXS	"Injury of other specified blood vessels at neck level, sequela"
33295	S15.9XXD	"Injury of unspecified blood vessel at neck level, subsequent encounter"
33296	S15.9XXS	"Injury of unspecified blood vessel at neck level, sequela"
33300	S16.1XXD	"Strain of muscle, fascia and tendon at neck level, subsequent encounter"
33301	S16.1XXS	"Strain of muscle, fascia and tendon at neck level, sequela"
33304	S16.2XXD	"Laceration of muscle, fascia and tendon at neck level, subsequent encounter"
33305	S16.2XXS	"Laceration of muscle, fascia and tendon at neck level, sequela"
33308	S16.8XXD	"Other specified injury of muscle, fascia and tendon at neck level, subsequent encounter"
33309	S16.8XXS	"Other specified injury of muscle, fascia and tendon at neck level, sequela"
33312	S16.9XXD	"Unspecified injury of muscle, fascia and tendon at neck level, subsequent encounter"
33313	S16.9XXS	"Unspecified injury of muscle, fascia and tendon at neck level, sequela"
33317	S17.0XXD	"Crushing injury of larynx and trachea, subsequent encounter"
33318	S17.0XXS	"Crushing injury of larynx and trachea, sequela"
33321	S17.8XXD	"Crushing injury of other specified parts of neck, subsequent encounter"
33322	S17.8XXS	"Crushing injury of other specified parts of neck, sequela"
33325	S17.9XXD	"Crushing injury of neck, part unspecified, subsequent encounter"
33326	S17.9XXS	"Crushing injury of neck, part unspecified, sequela"
33331	S19.80XD	"Other specified injuries of unspecified part of neck, subsequent encounter"
33332	S19.80XS	"Other specified injuries of unspecified part of neck, sequela"
33335	S19.81XD	"Other specified injuries of larynx, subsequent encounter"
33336	S19.81XS	"Other specified injuries of larynx, sequela"
33339	S19.82XD	"Other specified injuries of cervical trachea, subsequent encounter"
33340	S19.82XS	"Other specified injuries of cervical trachea, sequela"
33343	S19.83XD	"Other specified injuries of vocal cord, subsequent encounter"
33344	S19.83XS	"Other specified injuries of vocal cord, sequela"
33347	S19.84XD	"Other specified injuries of thyroid gland, subsequent encounter"
33348	S19.84XS	"Other specified injuries of thyroid gland, sequela"
33351	S19.85XD	"Other specified injuries of pharynx and cervical esophagus, subsequent encounter"
33352	S19.85XS	"Other specified injuries of pharynx and cervical esophagus, sequela"
33355	S19.89XD	"Other specified injuries of other specified part of neck, subsequent encounter"
33356	S19.89XS	"Other specified injuries of other specified part of neck, sequela"
33359	S19.9XXD	"Unspecified injury of neck, subsequent encounter"
33360	S19.9XXS	"Unspecified injury of neck, sequela"
33365	S20.00XD	"Contusion of breast, unspecified breast, subsequent encounter"
33366	S20.00XS	"Contusion of breast, unspecified breast, sequela"
33369	S20.01XD	"Contusion of right breast, subsequent encounter"
33370	S20.01XS	"Contusion of right breast, sequela"
33373	S20.02XD	"Contusion of left breast, subsequent encounter"
33374	S20.02XS	"Contusion of left breast, sequela"
33379	S20.101D	"Unspecified superficial injuries of breast, right breast, subsequent encounter"
33380	S20.101S	"Unspecified superficial injuries of breast, right breast, sequela"
33383	S20.102D	"Unspecified superficial injuries of breast, left breast, subsequent encounter"
33384	S20.102S	"Unspecified superficial injuries of breast, left breast, sequela"
33387	S20.109D	"Unspecified superficial injuries of breast, unspecified breast, subsequent encounter"
33388	S20.109S	"Unspecified superficial injuries of breast, unspecified breast, sequela"
33392	S20.111D	"Abrasion of breast, right breast, subsequent encounter"
33393	S20.111S	"Abrasion of breast, right breast, sequela"
33396	S20.112D	"Abrasion of breast, left breast, subsequent encounter"
33397	S20.112S	"Abrasion of breast, left breast, sequela"
33400	S20.119D	"Abrasion of breast, unspecified breast, subsequent encounter"
33401	S20.119S	"Abrasion of breast, unspecified breast, sequela"
33405	S20.121D	"Blister (nonthermal) of breast, right breast, subsequent encounter"
33406	S20.121S	"Blister (nonthermal) of breast, right breast, sequela"
33409	S20.122D	"Blister (nonthermal) of breast, left breast, subsequent encounter"
33410	S20.122S	"Blister (nonthermal) of breast, left breast, sequela"
33413	S20.129D	"Blister (nonthermal) of breast, unspecified breast, subsequent encounter"
33414	S20.129S	"Blister (nonthermal) of breast, unspecified breast, sequela"
33418	S20.141D	"External constriction of part of breast, right breast, subsequent encounter"
33419	S20.141S	"External constriction of part of breast, right breast, sequela"
33422	S20.142D	"External constriction of part of breast, left breast, subsequent encounter"
33423	S20.142S	"External constriction of part of breast, left breast, sequela"
33426	S20.149D	"External constriction of part of breast, unspecified breast, subsequent encounter"
33427	S20.149S	"External constriction of part of breast, unspecified breast, sequela"
33431	S20.151D	"Superficial foreign body of breast, right breast, subsequent encounter"
33432	S20.151S	"Superficial foreign body of breast, right breast, sequela"
33435	S20.152D	"Superficial foreign body of breast, left breast, subsequent encounter"
33436	S20.152S	"Superficial foreign body of breast, left breast, sequela"
33439	S20.159D	"Superficial foreign body of breast, unspecified breast, subsequent encounter"
33440	S20.159S	"Superficial foreign body of breast, unspecified breast, sequela"
33444	S20.161D	"Insect bite (nonvenomous) of breast, right breast, subsequent encounter"
33445	S20.161S	"Insect bite (nonvenomous) of breast, right breast, sequela"
33448	S20.162D	"Insect bite (nonvenomous) of breast, left breast, subsequent encounter"
33449	S20.162S	"Insect bite (nonvenomous) of breast, left breast, sequela"
33452	S20.169D	"Insect bite (nonvenomous) of breast, unspecified breast, subsequent encounter"
33453	S20.169S	"Insect bite (nonvenomous) of breast, unspecified breast, sequela"
33457	S20.171D	"Other superficial bite of breast, right breast, subsequent encounter"
33458	S20.171S	"Other superficial bite of breast, right breast, sequela"
33461	S20.172D	"Other superficial bite of breast, left breast, subsequent encounter"
33462	S20.172S	"Other superficial bite of breast, left breast, sequela"
33465	S20.179D	"Other superficial bite of breast, unspecified breast, subsequent encounter"
33466	S20.179S	"Other superficial bite of breast, unspecified breast, sequela"
33470	S20.20XD	"Contusion of thorax, unspecified, subsequent encounter"
33471	S20.20XS	"Contusion of thorax, unspecified, sequela"
33475	S20.211D	"Contusion of right front wall of thorax, subsequent encounter"
33476	S20.211S	"Contusion of right front wall of thorax, sequela"
33479	S20.212D	"Contusion of left front wall of thorax, subsequent encounter"
33480	S20.212S	"Contusion of left front wall of thorax, sequela"
33483	S20.219D	"Contusion of unspecified front wall of thorax, subsequent encounter"
33484	S20.219S	"Contusion of unspecified front wall of thorax, sequela"
33488	S20.221D	"Contusion of right back wall of thorax, subsequent encounter"
33489	S20.221S	"Contusion of right back wall of thorax, sequela"
33492	S20.222D	"Contusion of left back wall of thorax, subsequent encounter"
33493	S20.222S	"Contusion of left back wall of thorax, sequela"
33496	S20.229D	"Contusion of unspecified back wall of thorax, subsequent encounter"
33497	S20.229S	"Contusion of unspecified back wall of thorax, sequela"
33502	S20.301D	"Unspecified superficial injuries of right front wall of thorax, subsequent encounter"
33503	S20.301S	"Unspecified superficial injuries of right front wall of thorax, sequela"
33506	S20.302D	"Unspecified superficial injuries of left front wall of thorax, subsequent encounter"
33507	S20.302S	"Unspecified superficial injuries of left front wall of thorax, sequela"
33510	S20.309D	"Unspecified superficial injuries of unspecified front wall of thorax, subsequent encounter"
33511	S20.309S	"Unspecified superficial injuries of unspecified front wall of thorax, sequela"
33515	S20.311D	"Abrasion of right front wall of thorax, subsequent encounter"
33516	S20.311S	"Abrasion of right front wall of thorax, sequela"
33519	S20.312D	"Abrasion of left front wall of thorax, subsequent encounter"
33520	S20.312S	"Abrasion of left front wall of thorax, sequela"
33523	S20.319D	"Abrasion of unspecified front wall of thorax, subsequent encounter"
33524	S20.319S	"Abrasion of unspecified front wall of thorax, sequela"
33528	S20.321D	"Blister (nonthermal) of right front wall of thorax, subsequent encounter"
33529	S20.321S	"Blister (nonthermal) of right front wall of thorax, sequela"
33532	S20.322D	"Blister (nonthermal) of left front wall of thorax, subsequent encounter"
33533	S20.322S	"Blister (nonthermal) of left front wall of thorax, sequela"
33536	S20.329D	"Blister (nonthermal) of unspecified front wall of thorax, subsequent encounter"
33537	S20.329S	"Blister (nonthermal) of unspecified front wall of thorax, sequela"
33541	S20.341D	"External constriction of right front wall of thorax, subsequent encounter"
33542	S20.341S	"External constriction of right front wall of thorax, sequela"
33545	S20.342D	"External constriction of left front wall of thorax, subsequent encounter"
33546	S20.342S	"External constriction of left front wall of thorax, sequela"
33549	S20.349D	"External constriction of unspecified front wall of thorax, subsequent encounter"
33550	S20.349S	"External constriction of unspecified front wall of thorax, sequela"
33554	S20.351D	"Superficial foreign body of right front wall of thorax, subsequent encounter"
33555	S20.351S	"Superficial foreign body of right front wall of thorax, sequela"
33558	S20.352D	"Superficial foreign body of left front wall of thorax, subsequent encounter"
33559	S20.352S	"Superficial foreign body of left front wall of thorax, sequela"
33562	S20.359D	"Superficial foreign body of unspecified front wall of thorax, subsequent encounter"
33563	S20.359S	"Superficial foreign body of unspecified front wall of thorax, sequela"
33567	S20.361D	"Insect bite (nonvenomous) of right front wall of thorax, subsequent encounter"
33568	S20.361S	"Insect bite (nonvenomous) of right front wall of thorax, sequela"
33571	S20.362D	"Insect bite (nonvenomous) of left front wall of thorax, subsequent encounter"
33572	S20.362S	"Insect bite (nonvenomous) of left front wall of thorax, sequela"
33575	S20.369D	"Insect bite (nonvenomous) of unspecified front wall of thorax, subsequent encounter"
33576	S20.369S	"Insect bite (nonvenomous) of unspecified front wall of thorax, sequela"
33580	S20.371D	"Other superficial bite of right front wall of thorax, subsequent encounter"
33581	S20.371S	"Other superficial bite of right front wall of thorax, sequela"
33584	S20.372D	"Other superficial bite of left front wall of thorax, subsequent encounter"
33585	S20.372S	"Other superficial bite of left front wall of thorax, sequela"
33588	S20.379D	"Other superficial bite of unspecified front wall of thorax, subsequent encounter"
33589	S20.379S	"Other superficial bite of unspecified front wall of thorax, sequela"
33594	S20.401D	"Unspecified superficial injuries of right back wall of thorax, subsequent encounter"
33595	S20.401S	"Unspecified superficial injuries of right back wall of thorax, sequela"
33598	S20.402D	"Unspecified superficial injuries of left back wall of thorax, subsequent encounter"
33599	S20.402S	"Unspecified superficial injuries of left back wall of thorax, sequela"
33602	S20.409D	"Unspecified superficial injuries of unspecified back wall of thorax, subsequent encounter"
33603	S20.409S	"Unspecified superficial injuries of unspecified back wall of thorax, sequela"
33607	S20.411D	"Abrasion of right back wall of thorax, subsequent encounter"
33608	S20.411S	"Abrasion of right back wall of thorax, sequela"
33611	S20.412D	"Abrasion of left back wall of thorax, subsequent encounter"
33612	S20.412S	"Abrasion of left back wall of thorax, sequela"
33615	S20.419D	"Abrasion of unspecified back wall of thorax, subsequent encounter"
33616	S20.419S	"Abrasion of unspecified back wall of thorax, sequela"
33620	S20.421D	"Blister (nonthermal) of right back wall of thorax, subsequent encounter"
33621	S20.421S	"Blister (nonthermal) of right back wall of thorax, sequela"
33624	S20.422D	"Blister (nonthermal) of left back wall of thorax, subsequent encounter"
33625	S20.422S	"Blister (nonthermal) of left back wall of thorax, sequela"
33628	S20.429D	"Blister (nonthermal) of unspecified back wall of thorax, subsequent encounter"
33629	S20.429S	"Blister (nonthermal) of unspecified back wall of thorax, sequela"
33633	S20.441D	"External constriction of right back wall of thorax, subsequent encounter"
