Order2018	POAexemptCode	Description
86778	V86.76XS	"Person on outside of dirt bike or motor/cross bike injured in nontraffic accident, sequela"
86801	V86.95XA	"Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, initial encounter"
86802	V86.95XD	"Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, subsequent encounter"
86803	V86.95XS	"Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, sequela"
86805	V86.96XA	"Unspecified occupant of dirt bike or motor/cross bike injured in nontraffic accident, initial encounter"
86806	V86.96XD	"Unspecified occupant of dirt bike or motor/cross bike injured in nontraffic accident, subsequent encounter"
86807	V86.96XS	"Unspecified occupant of dirt bike or motor/cross bike injured in nontraffic accident, sequela"
92906	Z36.0	Encounter for antenatal screening for chromosomal anomalies
92907	Z36.1	Encounter for antenatal screening for raised alphafetoprotein level
92908	Z36.2	Encounter for other antenatal screening follow-up
92909	Z36.3	Encounter for antenatal screening for malformations
92910	Z36.4	Encounter for antenatal screening for fetal growth retardation
92911	Z36.5	Encounter for antenatal screening for isoimmunization
92913	Z36.81	Encounter for antenatal screening for hydrops fetalis
92914	Z36.82	Encounter for antenatal screening for nuchal translucency
92915	Z36.83	Encounter for fetal screening for congenital cardiac abnormalities
92916	Z36.84	Encounter for antenatal screening for fetal lung maturity
92917	Z36.85	Encounter for antenatal screening for Streptococcus B
92918	Z36.86	Encounter for antenatal screening for cervical length
92919	Z36.87	Encounter for antenatal screening for uncertain dates
92920	Z36.88	Encounter for antenatal screening for fetal macrosomia
92921	Z36.89	Encounter for other specified antenatal screening
92922	Z36.8A	Encounter for antenatal screening for other genetic defects
92923	Z36.9	"Encounter for antenatal screening, unspecified"
93021	Z40.03	Encounter for prophylactic removal of fallopian tube(s )
93426	Z71.82	Exercise counseling
93427	Z71.83	Encounter for nonprocreative genetic counseling
93951	Z91.841	"Risk for dental caries, low"
93952	Z91.842	"Risk for dental caries, moderate"
93953	Z91.843	"Risk for dental caries, high"
93954	Z91.849	Unspecified risk for dental caries
