Order2018	Action	Code	Description
81698	Revise to	T83.79XS	"Other specified complications due to other genitourinary prosthetic materials, sequela"
82259	Revise from	T85.110D	"Breakdown (mechanical) of implanted electronic neurostimulator of brain, electrode (lead), subsequent encounter"
82259	Revise to	T85.110D	"Breakdown (mechanical) of implanted electronic neurostimulator of brain electrode (lead), subsequent encounter"
82260	Revise from	T85.110S	"Breakdown (mechanical) of implanted electronic neurostimulator of brain, electrode (lead), sequela"
82260	Revise to	T85.110S	"Breakdown (mechanical) of implanted electronic neurostimulator of brain electrode (lead), sequela"
82263	Revise from	T85.111D	"Breakdown (mechanical) of implanted electronic neurostimulator of peripheral nerve, electrode (lead), subsequent encounter"
82263	Revise to	T85.111D	"Breakdown (mechanical) of implanted electronic neurostimulator of peripheral nerve electrode (lead), subsequent encounter"
82264	Revise from	T85.111S	"Breakdown (mechanical) of implanted electronic neurostimulator of peripheral nerve, electrode (lead), sequela"
82264	Revise to	T85.111S	"Breakdown (mechanical) of implanted electronic neurostimulator of peripheral nerve electrode (lead), sequela"
82267	Revise from	T85.112D	"Breakdown (mechanical) of implanted electronic neurostimulator of spinal cord, electrode (lead), subsequent encounter"
82267	Revise to	T85.112D	"Breakdown (mechanical) of implanted electronic neurostimulator of spinal cord electrode (lead), subsequent encounter"
82268	Revise from	T85.112S	"Breakdown (mechanical) of implanted electronic neurostimulator of spinal cord, electrode (lead), sequela"
82268	Revise to	T85.112S	"Breakdown (mechanical) of implanted electronic neurostimulator of spinal cord electrode (lead), sequela"
82280	Revise from	T85.120D	"Displacement of implanted electronic neurostimulator of brain, electrode (lead), subsequent encounter"
82280	Revise to	T85.120D	"Displacement of implanted electronic neurostimulator of brain electrode (lead), subsequent encounter"
82281	Revise from	T85.120S	"Displacement of implanted electronic neurostimulator of brain, electrode (lead), sequela"
82281	Revise to	T85.120S	"Displacement of implanted electronic neurostimulator of brain electrode (lead), sequela"
82284	Revise from	T85.121D	"Displacement of implanted electronic neurostimulator of peripheral nerve, electrode (lead), subsequent encounter"
82284	Revise to	T85.121D	"Displacement of implanted electronic neurostimulator of peripheral nerve electrode (lead), subsequent encounter"
82285	Revise from	T85.121S	"Displacement of implanted electronic neurostimulator of peripheral nerve, electrode (lead), sequela"
82285	Revise to	T85.121S	"Displacement of implanted electronic neurostimulator of peripheral nerve electrode (lead), sequela"
82288	Revise from	T85.122D	"Displacement of implanted electronic neurostimulator of spinal cord, electrode (lead), subsequent encounter"
82288	Revise to	T85.122D	"Displacement of implanted electronic neurostimulator of spinal cord electrode (lead), subsequent encounter"
82289	Revise from	T85.122S	"Displacement of implanted electronic neurostimulator of spinal cord, electrode (lead), sequela"
82289	Revise to	T85.122S	"Displacement of implanted electronic neurostimulator of spinal cord electrode (lead), sequela"
82301	Revise from	T85.190D	"Other mechanical complication of implanted electronic neurostimulator of brain, electrode (lead), subsequent encounter"
82301	Revise to	T85.190D	"Other mechanical complication of implanted electronic neurostimulator of brain electrode (lead), subsequent encounter"
82302	Revise from	T85.190S	"Other mechanical complication of implanted electronic neurostimulator of brain, electrode (lead), sequela"
82302	Revise to	T85.190S	"Other mechanical complication of implanted electronic neurostimulator of brain electrode (lead), sequela"
82305	Revise from	T85.191D	"Other mechanical complication of implanted electronic neurostimulator of peripheral nerve, electrode (lead), subsequent encounter"
82305	Revise to	T85.191D	"Other mechanical complication of implanted electronic neurostimulator of peripheral nerve electrode (lead), subsequent encounter"
82306	Revise from	T85.191S	"Other mechanical complication of implanted electronic neurostimulator of peripheral nerve, electrode (lead), sequela"
82306	Revise to	T85.191S	"Other mechanical complication of implanted electronic neurostimulator of peripheral nerve electrode (lead), sequela"
82309	Revise from	T85.192D	"Other mechanical complication of implanted electronic neurostimulator of spinal cord, electrode (lead), subsequent encounter"
82309	Revise to	T85.192D	"Other mechanical complication of implanted electronic neurostimulator of spinal cord electrode (lead), subsequent encounter"
82310	Revise from	T85.192S	"Other mechanical complication of implanted electronic neurostimulator of spinal cord, electrode (lead), sequela"
82310	Revise to	T85.192S	"Other mechanical complication of implanted electronic neurostimulator of spinal cord electrode (lead), sequela"
88797	Revise from	W29.8XXA	"Contact with other powered powered hand tools and household machinery, initial encounter"
88797	Revise to	W29.8XXA	"Contact with other powered hand tools and household machinery, initial encounter"
88798	Revise from	W29.8XXD	"Contact with other powered powered hand tools and household machinery, subsequent encounter"
88798	Revise to	W29.8XXD	"Contact with other powered hand tools and household machinery, subsequent encounter"
88799	Revise from	W29.8XXS	"Contact with other powered powered hand tools and household machinery, sequela"
88799	Revise to	W29.8XXS	"Contact with other powered hand tools and household machinery, sequela"
92865	Revise from	Z31.5	Encounter for genetic counseling
92865	Revise to	Z31.5	Encounter for procreative genetic counseling
93356	Revise from	Z68.1	"Body mass index (BMI) 19 or less, adult"
93356	Revise to	Z68.1	"Body mass index (BMI) 19.9 or less, adult"
93549	Revise from	Z79.890	Hormone replacement therapy (postmenopausal)
93549	Revise to	Z79.890	Hormone replacement therapy
